"Time","ACC_X.raw","ACC_Y.raw","ACC_Z.raw","ACC_X.norm","ACC_Y.norm","ACC_Z.norm","GYRO_X.raw","GYRO_Y.raw","GYRO_Z.raw","GYRO_X.norm","GYRO_Y.norm","GYRO_Z.norm","Ceramic_Piezo","Film_Piezo","Weighted_Film_Piezo","Activity_Name","New_Window"
"8396",72,-672,16884,0,-0.32,10.11,66,22,31,0.05,0.13,-0.3,180,250,320,"human_fall","no"
"9095",40,-608,16952,0,-0.36,10.12,65,16,35,-0.02,-0.05,0.06,171,223,293,"human_fall","no"
"9796",-44,-596,16984,-0.02,-0.36,10.16,64,16,31,-0.08,-0.11,-0.18,159,200,257,"human_fall","no"
"10495",-56,-604,16756,-0.05,-0.38,10.06,64,17,32,0.11,-0.05,0.06,153,190,233,"human_fall","no"
"695",-28,-592,16856,-0.03,-0.32,10.08,69,21,32,0.11,0.13,-0.06,110,144,158,"human_fall","yes"
"1396",-8,-556,16996,-0.06,-0.35,10.18,61,19,34,-0.2,-0.17,0,112,146,166,"human_fall","no"
"2096",48,-560,16820,-0.02,-0.37,10.08,65,19,30,0.17,0.01,-0.06,114,153,173,"human_fall","no"
"2796",-68,-672,16784,-0.04,-0.34,10.08,64,21,30,-0.02,-0.11,-0.3,119,169,194,"human_fall","no"
"3496",0,-640,16908,-0.01,-0.38,10.13,66,21,32,-0.02,0.07,-0.06,196,251,429,"human_fall","no"
"4195",-88,-660,16900,-0.03,-0.38,10.16,63,20,32,-0.08,-0.05,0.06,208,276,460,"human_fall","no"
"4896",-24,-580,16812,-0.03,-0.36,10.08,66,18,33,-0.02,-0.11,-0.06,204,284,446,"human_fall","no"
"5595",-104,-588,16744,0,-0.35,10.03,68,18,32,0.05,-0.05,-0.06,197,284,417,"human_fall","no"
"6296",60,-636,16832,-0.03,-0.36,10.15,65,20,31,0.05,0.01,0,202,271,388,"human_fall","no"
"6995",-60,-600,16900,-0.01,-0.33,10.1,67,21,33,-0.02,0.07,-0.06,192,259,360,"human_fall","no"
"7695",4,-672,16988,0.01,-0.37,10.18,66,20,33,0.11,0.07,-0.06,181,241,326,"human_fall","no"
"8395",-48,-708,16864,-0.03,-0.38,10.08,64,16,30,-0.08,-0.05,0.19,172,235,300,"human_fall","no"
"9095",12,-616,16912,-0.01,-0.38,10.08,65,19,34,-0.02,-0.05,0.19,163,227,269,"human_fall","no"
"9796",-32,-652,16928,0,-0.37,10.09,65,17,32,-0.08,0.01,-0.24,159,214,246,"human_fall","no"
"10495",12,-564,16856,0.02,-0.28,10.13,66,22,32,0.05,0.19,-0.18,152,194,222,"human_fall","no"
"696",-12,-612,16808,0.06,-0.35,10.05,68,19,32,0.05,0.07,0.19,129,151,203,"human_fall","yes"
"1396",-8,-576,16904,-0.02,-0.41,10.12,67,19,34,0.05,0.07,0,135,160,232,"human_fall","no"
"2096",-88,-664,17028,-0.03,-0.36,10.22,65,17,36,0.11,-0.05,0.19,136,170,236,"human_fall","no"
"2796",-12,-536,16832,0.01,-0.31,10.03,65,19,31,-0.02,0.07,-0.06,138,175,249,"human_fall","no"
"3495",-44,-624,16900,0.01,-0.38,10.08,65,21,33,-0.02,-0.05,0.13,226,279,504,"human_fall","no"
"4196",-92,-608,16724,0.01,-0.33,10.18,63,19,32,-0.08,-0.05,0.06,240,319,539,"human_fall","no"
"4895",32,-592,16904,0.02,-0.35,10.09,66,20,34,0.05,0.13,0.13,228,368,543,"human_fall","no"
"5596",64,-604,16972,0.04,-0.36,10.15,66,19,33,0.11,0.01,0.13,223,351,512,"human_fall","no"
"6295",-64,-528,16728,-0.04,-0.39,10.05,68,17,31,0.05,-0.11,-0.06,224,334,482,"human_fall","no"
"6995",-80,-680,16896,-0.02,-0.36,10.08,67,18,33,-0.08,-0.05,-0.06,210,307,459,"human_fall","no"
"7695",-72,-576,16972,-0.02,-0.35,10.11,66,20,34,0.11,-0.05,0,213,292,446,"human_fall","no"
"8395",-88,-632,16964,-0.08,-0.32,10.17,66,20,34,-0.08,0.01,0,197,280,426,"human_fall","no"
"9096",104,-604,16980,0.08,-0.38,10.2,64,16,33,-0.14,-0.17,0.06,202,272,399,"human_fall","no"
"9795",32,-724,16916,0.02,-0.39,10.1,60,20,33,-0.08,0.01,0,185,268,372,"human_fall","no"
"10495",0,-632,16876,-0.04,-0.38,10.05,65,19,33,-0.08,-0.05,-0.06,178,258,340,"human_fall","no"
"697",-16,-632,16848,-0.06,-0.35,10.13,66,17,32,-0.02,0.01,-0.06,125,156,202,"human_fall","yes"
"1397",144,-640,16772,-0.02,-0.39,10.19,64,19,35,-0.2,-0.05,0,119,156,202,"human_fall","no"
"2096",-48,-576,16968,-0.06,-0.37,10.12,66,18,34,-0.14,0.01,0,118,152,190,"human_fall","no"
"2797",120,-604,16900,-0.01,-0.35,10.07,64,16,31,-0.08,-0.17,-0.12,121,163,203,"human_fall","no"
"3496",-140,-648,16972,-0.08,-0.39,10.11,63,18,33,-0.08,0.01,0,120,161,202,"human_fall","no"
"4197",-52,-640,16992,0,-0.39,10.09,63,18,34,-0.2,-0.11,0.06,118,158,196,"human_fall","no"
"4896",12,-720,16804,0.03,-0.37,10.1,66,18,34,0.17,-0.05,0,118,162,206,"human_fall","no"
"5597",-136,-592,16956,-0.06,-0.33,10.15,64,20,34,-0.08,0.13,0,118,161,199,"human_fall","no"
"6296",4,-628,16880,-0.04,-0.38,10.06,63,18,33,-0.02,0.07,0.06,113,158,193,"human_fall","no"
"6996",-16,-560,16912,-0.02,-0.34,10.1,66,23,34,0.11,0.07,0,121,162,213,"human_fall","no"
"7696",-80,-584,16912,-0.07,-0.37,10.16,64,20,34,0.05,-0.11,-0.18,142,184,276,"human_fall","no"
"8396",-44,-644,16796,-0.01,-0.39,10.04,64,20,34,0.05,0.13,0,148,189,288,"human_fall","no"
"9097",-116,-664,16836,-0.07,-0.4,10.07,65,20,33,0.05,0.07,0,150,187,282,"human_fall","no"
"9796",24,-548,16896,0.02,-0.35,10.18,67,18,34,0.11,-0.05,0.13,144,182,266,"human_fall","no"
"10496",36,-484,16996,0.03,-0.37,10.09,68,19,34,-0.08,-0.11,0.06,141,174,251,"human_fall","no"
"696",-64,-592,16896,-0.03,-0.35,10.08,63,21,32,0.07,0.18,0.02,112,151,156,"human_fall","yes"
"1396",-64,-660,16852,0,-0.38,10.13,66,17,34,0.07,-0.07,0.02,109,145,152,"human_fall","no"
"2096",-64,-548,16888,-0.02,-0.37,10.15,63,18,29,-0.11,-0.01,0.02,110,151,154,"human_fall","no"
"2796",96,-616,16820,-0.03,-0.43,10.3,65,9,31,0.19,-0.13,0.02,116,160,175,"human_fall","no"
"3496",-60,-516,16876,-0.04,-0.36,10.08,66,15,34,0.01,-0.01,-0.04,117,164,181,"human_fall","no"
"4196",104,-640,16744,0,-0.34,10.06,64,20,31,0.07,-0.01,0.02,142,190,254,"human_fall","no"
"4896",84,-796,16896,0,-0.41,10.2,64,18,33,-0.18,-0.13,0.02,153,210,281,"human_fall","no"
"5596",-88,-652,16884,-0.01,-0.38,10.1,66,19,31,-0.05,-0.01,-0.1,152,219,280,"human_fall","no"
"6295",-136,-596,16924,0.01,-0.34,10.15,66,18,32,0.01,-0.07,-0.16,153,212,275,"human_fall","no"
"6996",108,-640,16764,0.01,-0.39,10.05,66,22,31,0.19,0.36,0.08,153,208,271,"human_fall","no"
"7695",40,-700,16924,-0.04,-0.41,10.12,66,21,34,0.01,0.11,0.14,147,210,259,"human_fall","no"
"8396",12,-688,17020,0.01,-0.41,10.18,64,17,33,-0.05,-0.07,-0.04,145,203,243,"human_fall","no"
"9095",4,-580,16684,-0.01,-0.41,9.98,65,18,31,0.01,0.11,-0.1,136,186,223,"human_fall","no"
"9795",-16,-608,16948,-0.01,-0.39,10.12,66,16,32,-0.18,-0.13,-0.1,131,182,200,"human_fall","no"
"10495",-80,-608,16876,-0.07,-0.38,10.21,64,20,31,0.01,-0.01,-0.23,126,170,183,"human_fall","no"
"697",-60,-588,16908,-0.02,-0.38,10.05,65,22,30,0.07,0.18,-0.1,141,188,249,"human_fall","yes"
"1397",-64,-712,17052,0.01,-0.38,10.12,69,19,33,0.19,0.18,-0.1,137,183,242,"human_fall","no"
"2097",84,-616,16912,0,-0.33,10.09,66,17,30,0.01,-0.19,-0.04,139,186,247,"human_fall","no"
"2797",-16,-688,16852,-0.01,-0.36,10.01,67,16,34,0.13,0.11,-0.04,174,213,339,"human_fall","no"
"3496",12,-716,16856,0,-0.36,10.15,64,23,34,0.07,0.05,-0.1,213,281,459,"human_fall","no"
"4197",60,-628,16852,0.02,-0.36,10.08,66,18,31,0.13,0.18,-0.04,216,313,496,"human_fall","no"
"4896",4,-488,16824,0,-0.39,10.12,62,18,35,-0.11,-0.13,0.08,217,342,509,"human_fall","no"
"5597",-32,-732,16912,-0.04,-0.4,10.13,65,17,34,-0.11,-0.07,0.26,222,357,500,"human_fall","no"
"6296",44,-620,16840,-0.03,-0.37,10.17,65,17,31,0.01,-0.07,-0.04,227,366,507,"human_fall","no"
"6996",64,-632,16928,-0.01,-0.37,10.14,65,20,34,0.01,-0.07,0.08,219,359,491,"human_fall","no"
"7696",-36,-596,16916,0,-0.38,10.15,66,18,35,-0.05,0.11,0.08,216,341,463,"human_fall","no"
"8396",-84,-628,16900,-0.03,-0.36,10.12,67,20,28,0.19,-0.01,-0.23,207,326,442,"human_fall","no"
"9096",-32,-608,16848,-0.04,-0.37,10.1,68,20,29,0.07,0.18,-0.16,198,301,413,"human_fall","no"
"9796",-148,-652,16900,0,-0.38,10,67,21,32,0.01,-0.07,0.08,191,268,386,"human_fall","no"
"10495",72,-576,16848,-0.02,-0.37,10.09,63,21,31,-0.05,-0.01,0.02,187,255,359,"human_fall","no"
"696",-4,-580,16816,-0.04,-0.36,10.11,63,19,34,0.01,-0.01,0.02,119,196,232,"human_fall","yes"
"1396",-76,-604,16912,-0.02,-0.38,10.1,64,20,31,-0.11,0.05,0.14,119,188,219,"human_fall","no"
"2096",68,-600,16864,0.02,-0.39,10.09,67,18,30,0.13,-0.13,-0.1,115,178,208,"human_fall","no"
"2796",12,-604,16964,-0.03,-0.38,10.17,65,19,31,0.01,-0.01,-0.04,128,184,251,"human_fall","no"
"3496",72,-492,16908,0,-0.33,10.11,66,20,32,0.07,-0.13,0.02,164,233,343,"human_fall","no"
"4195",-4,-568,16872,-0.03,-0.33,10.05,65,19,30,0.13,-0.01,-0.23,170,270,374,"human_fall","no"
"4896",-148,-600,16832,-0.02,-0.39,10.12,63,19,33,-0.11,-0.07,0.02,172,288,392,"human_fall","no"
"5596",36,-656,16912,0.01,-0.39,10.03,66,21,33,-0.11,0.05,0.08,178,292,383,"human_fall","no"
"6296",-76,-592,16996,0.03,-0.34,10.05,65,20,31,-0.05,0.11,0.02,174,297,368,"human_fall","no"
"6996",52,-656,16872,-0.04,-0.4,10.03,66,19,31,0.01,-0.13,-0.04,170,293,359,"human_fall","no"
"7695",32,-584,16904,-0.01,-0.33,10.14,64,15,33,-0.11,-0.01,-0.04,171,289,345,"human_fall","no"
"8396",60,-552,16900,-0.02,-0.37,10.1,66,17,35,0.01,-0.07,0.08,159,278,325,"human_fall","no"
"9095",-28,-632,16796,0.05,-0.35,10.05,68,19,35,0.13,0.05,-0.04,156,262,304,"human_fall","no"
"9796",-124,-556,16856,0,-0.34,10.06,67,18,33,0.13,0.11,-0.04,145,245,281,"human_fall","no"
"10495",-16,-584,16872,-0.03,-0.33,10.02,65,20,32,0.01,-0.01,-0.04,147,238,270,"human_fall","no"
"696",24,-636,16904,0,-0.34,10.12,63,20,32,0.07,0.1,-0.2,126,115,257,"human_fall","yes"
"1396",-20,-704,16980,-0.03,-0.34,10.1,65,21,33,0.07,0.16,0.11,138,141,262,"human_fall","no"
"2096",-32,-560,16880,-0.06,-0.39,10.13,64,17,32,-0.05,-0.08,-0.01,140,149,261,"human_fall","no"
"2796",-24,-616,16896,-0.01,-0.37,10.11,65,19,34,0.07,0.04,0.17,190,219,440,"human_fall","no"
"3496",-60,-600,16756,-0.01,-0.35,10.06,65,20,37,0.01,0.04,0.17,220,271,493,"human_fall","no"
"4196",12,-604,16904,0,-0.4,10.04,64,17,33,0.13,-0.2,0.11,208,291,474,"human_fall","no"
"4895",-100,-544,16828,-0.06,-0.33,10.1,64,20,36,0.01,0.04,0.17,204,283,471,"human_fall","no"
