Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
697,156.00,-636.00,16820.00,0.14,-0.33,10.09,69.00,20.00,31.00,0.19,0.18,0.05,180,270,224 ,
1396,196.00,-584.00,16920.00,0.16,-0.39,10.15,67.00,19.00,31.00,-0.06,0.06,0.05,183,285,234 ,
2097,132.00,-604.00,16824.00,0.10,-0.38,9.99,67.00,18.00,35.00,0.07,-0.12,0.30,187,344,269 ,
2796,188.00,-612.00,16888.00,0.09,-0.38,10.04,64.00,20.00,33.00,-0.12,0.06,0.24,192,296,270 ,
3496,224.00,-584.00,16912.00,0.15,-0.38,10.09,66.00,21.00,31.00,0.07,-0.00,0.11,189,142,218 ,
4196,100.00,-640.00,16708.00,0.05,-0.35,10.03,66.00,19.00,30.00,0.00,0.12,0.05,189,146,216 ,
4896,16.00,-640.00,16772.00,0.05,-0.37,9.99,64.00,21.00,30.00,0.00,0.06,0.05,190,161,216 ,
5596,124.00,-628.00,16856.00,0.11,-0.37,10.08,64.00,18.00,32.00,-0.12,-0.00,0.11,190,168,216 ,
6296,208.00,-580.00,16848.00,0.19,-0.33,10.08,65.00,20.00,31.00,-0.06,0.30,0.05,186,176,215 ,
6995,140.00,-668.00,16820.00,0.11,-0.41,10.11,65.00,22.00,33.00,-0.06,0.18,0.11,186,179,213 ,
7696,212.00,-568.00,16792.00,0.10,-0.35,10.02,66.00,21.00,29.00,-0.06,0.06,-0.13,187,183,214 ,
8395,160.00,-600.00,16748.00,0.14,-0.36,10.00,64.00,19.00,32.00,-0.06,-0.00,0.11,184,188,213 ,
9096,172.00,-588.00,16876.00,0.09,-0.33,10.08,67.00,23.00,32.00,0.07,0.24,0.17,183,190,213 ,
9795,192.00,-592.00,16868.00,0.09,-0.31,10.07,65.00,19.00,31.00,0.13,-0.00,0.05,183,191,211 ,
10495,192.00,-592.00,16764.00,0.11,-0.34,10.03,66.00,23.00,32.00,-0.12,0.18,-0.07,185,193,211 ,
button pressed
696,172.00,-640.00,16880.00,0.07,-0.34,10.10,64.00,20.00,31.00,0.00,0.18,0.05,178,275,220 ,
1396,244.00,-608.00,16800.00,0.12,-0.38,10.02,64.00,16.00,33.00,-0.18,-0.12,0.05,181,315,239 ,
2095,136.00,-532.00,16956.00,0.14,-0.32,10.09,64.00,20.00,31.00,-0.12,0.12,0.11,185,277,242 ,
2796,172.00,-676.00,16872.00,0.13,-0.37,10.10,65.00,18.00,31.00,0.13,0.12,0.05,193,244,245 ,
3495,136.00,-608.00,16760.00,0.05,-0.37,10.06,64.00,20.00,29.00,-0.18,0.18,-0.01,189,224,234 ,
4196,160.00,-532.00,16844.00,0.06,-0.36,10.11,66.00,23.00,29.00,-0.06,0.18,-0.19,185,238,238 ,
4895,164.00,-624.00,16840.00,0.09,-0.36,10.18,65.00,18.00,34.00,0.00,-0.00,0.05,189,236,237 ,
5596,204.00,-620.00,16828.00,0.09,-0.39,9.95,65.00,15.00,31.00,0.19,-0.25,-0.07,189,228,234 ,
6296,276.00,-576.00,16868.00,0.13,-0.36,10.08,67.00,18.00,33.00,0.13,-0.06,-0.01,189,244,240 ,
6995,224.00,-660.00,16852.00,0.10,-0.36,10.03,68.00,15.00,31.00,0.00,-0.19,0.05,189,226,235 ,
7696,204.00,-624.00,16688.00,0.15,-0.39,10.04,65.00,19.00,32.00,-0.18,-0.06,-0.13,190,228,235 ,
8395,156.00,-612.00,16980.00,0.05,-0.38,10.12,67.00,16.00,30.00,0.13,0.06,0.05,190,231,236 ,
9096,180.00,-640.00,16836.00,0.11,-0.42,10.04,69.00,20.00,32.00,0.13,-0.00,-0.01,191,206,228 ,
9795,240.00,-536.00,16860.00,0.18,-0.32,10.15,65.00,17.00,31.00,0.00,-0.12,-0.01,189,198,226 ,
10495,240.00,-660.00,16872.00,0.11,-0.30,10.10,63.00,19.00,33.00,0.00,-0.00,0.11,190,221,232 ,
button pressed
696,288.00,-612.00,16900.00,0.17,-0.40,10.03,64.00,15.00,33.00,0.00,-0.12,-0.07,172,202,181 ,
1396,88.00,-620.00,16764.00,0.10,-0.37,10.01,64.00,20.00,29.00,-0.06,0.06,-0.07,172,204,186 ,
2096,204.00,-576.00,16744.00,0.13,-0.35,10.06,65.00,18.00,31.00,0.00,0.06,-0.01,173,244,206 ,
2796,96.00,-676.00,16876.00,0.09,-0.39,10.08,67.00,20.00,32.00,-0.06,0.18,0.24,177,253,218 ,
3496,204.00,-536.00,16832.00,0.12,-0.34,10.01,66.00,19.00,32.00,-0.12,-0.06,0.05,179,202,206 ,
4195,164.00,-628.00,16656.00,0.14,-0.39,10.08,63.00,20.00,35.00,-0.24,0.12,-0.01,182,194,207 ,
4896,196.00,-592.00,16876.00,0.10,-0.42,10.12,63.00,16.00,31.00,-0.06,-0.12,-0.01,182,193,209 ,
5595,172.00,-564.00,16764.00,0.06,-0.33,10.10,64.00,18.00,29.00,0.00,-0.12,-0.19,184,195,211 ,
6296,272.00,-556.00,16848.00,0.06,-0.33,10.11,65.00,18.00,33.00,0.00,-0.06,0.05,182,195,212 ,
6996,240.00,-588.00,16796.00,0.14,-0.34,10.00,67.00,19.00,33.00,0.00,-0.06,-0.07,183,196,212 ,
7695,200.00,-616.00,16920.00,0.09,-0.39,10.14,65.00,19.00,32.00,0.07,-0.00,0.05,184,197,215 ,
8396,212.00,-608.00,16876.00,0.13,-0.39,10.08,63.00,18.00,28.00,-0.12,-0.12,-0.13,187,199,218 ,
9095,120.00,-580.00,16844.00,0.09,-0.39,10.12,65.00,19.00,34.00,-0.06,-0.00,0.05,186,199,221 ,
9796,316.00,-636.00,16920.00,0.12,-0.39,10.07,69.00,21.00,30.00,-0.06,0.18,0.05,187,200,222 ,
10495,108.00,-536.00,16720.00,0.04,-0.32,10.09,67.00,18.00,31.00,0.19,-0.06,0.11,186,200,224 ,
button pressed
695,72.00,-640.00,16788.00,0.10,-0.37,10.08,65.00,22.00,31.00,-0.12,0.18,-0.13,178,205,198 ,
1396,104.00,-664.00,16852.00,0.12,-0.36,10.05,65.00,20.00,32.00,-0.06,0.12,-0.01,176,241,211 ,
2095,256.00,-564.00,16840.00,0.11,-0.34,9.97,69.00,20.00,31.00,-0.06,-0.00,-0.01,185,240,238 ,
2796,220.00,-620.00,16800.00,0.10,-0.36,10.04,66.00,17.00,29.00,0.00,-0.06,-0.19,190,189,224 ,
3495,112.00,-604.00,16656.00,0.09,-0.38,10.09,65.00,21.00,31.00,-0.06,-0.06,-0.01,189,172,214 ,
4195,228.00,-764.00,16896.00,0.12,-0.34,10.10,67.00,19.00,31.00,0.07,-0.00,-0.01,185,183,214 ,
4896,184.00,-660.00,16760.00,0.15,-0.41,10.06,63.00,19.00,32.00,-0.24,0.06,0.05,183,186,211 ,
5595,272.00,-700.00,16736.00,0.18,-0.39,10.02,62.00,19.00,31.00,-0.18,0.12,0.11,183,188,211 ,
6296,160.00,-600.00,16784.00,0.11,-0.40,9.98,66.00,18.00,30.00,0.00,-0.06,-0.01,183,192,212 ,
6995,168.00,-668.00,16804.00,0.11,-0.37,10.06,62.00,20.00,34.00,-0.06,-0.06,-0.01,184,196,214 ,
7695,120.00,-596.00,16800.00,0.08,-0.33,10.01,66.00,19.00,30.00,-0.06,0.06,-0.07,183,199,214 ,
8395,216.00,-548.00,16780.00,0.13,-0.33,10.09,67.00,18.00,33.00,0.07,-0.00,0.17,183,198,213 ,
9095,168.00,-664.00,16924.00,0.13,-0.41,10.18,69.00,17.00,28.00,0.07,-0.06,-0.13,182,196,213 ,
9795,208.00,-608.00,16800.00,0.09,-0.34,10.13,66.00,21.00,29.00,0.00,0.12,-0.07,184,198,213 ,
10495,152.00,-628.00,16960.00,0.09,-0.38,10.08,68.00,19.00,33.00,0.00,-0.00,-0.07,185,200,213 ,
button pressed
696,100.00,-620.00,16884.00,0.08,-0.39,10.24,64.00,20.00,29.00,-0.06,0.06,-0.13,175,206,186 ,
1396,260.00,-500.00,16900.00,0.14,-0.34,10.03,66.00,19.00,28.00,0.13,0.06,-0.13,174,240,199 ,
2096,140.00,-624.00,16808.00,0.08,-0.36,10.05,64.00,22.00,32.00,0.07,0.06,0.11,177,202,194 ,
2796,208.00,-580.00,16872.00,0.09,-0.34,10.17,68.00,18.00,30.00,-0.06,-0.00,-0.01,187,222,229 ,
3496,88.00,-616.00,16820.00,0.11,-0.34,10.04,66.00,23.00,31.00,0.13,0.18,0.05,186,155,204 ,
4195,208.00,-488.00,16816.00,0.09,-0.38,10.11,66.00,17.00,30.00,0.13,0.06,-0.19,183,148,197 ,
4896,212.00,-608.00,16756.00,0.13,-0.36,10.02,65.00,20.00,30.00,-0.06,0.18,-0.13,182,161,197 ,
