Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
4895,44.00,-676.00,16832.00,0.07,-0.38,10.10,61.00,19.00,32.00,-0.11,-0.05,0.17,166,183,201 ,
5596,136.00,-520.00,16916.00,0.11,-0.35,10.11,63.00,21.00,29.00,-0.11,0.01,0.04,165,195,206 ,
6295,156.00,-568.00,16744.00,0.08,-0.39,10.05,63.00,21.00,33.00,-0.17,0.14,0.04,164,198,208 ,
6996,96.00,-604.00,16848.00,0.12,-0.36,10.00,64.00,19.00,33.00,-0.11,-0.05,-0.02,170,192,209 ,
7695,128.00,-528.00,16816.00,0.06,-0.27,10.04,66.00,19.00,29.00,-0.11,0.07,-0.08,167,191,207 ,
8395,76.00,-664.00,16860.00,0.04,-0.33,10.03,68.00,18.00,33.00,-0.11,-0.17,0.17,166,188,208 ,
9095,216.00,-632.00,16952.00,0.10,-0.36,10.14,65.00,22.00,32.00,0.01,0.20,-0.02,165,189,207 ,
9795,128.00,-568.00,16764.00,0.10,-0.32,10.09,68.00,18.00,31.00,0.13,0.14,-0.02,169,186,204 ,
10495,84.00,-652.00,16776.00,0.07,-0.31,9.98,68.00,21.00,29.00,-0.05,0.07,-0.26,166,187,203 ,
button pressed
696,120.00,-600.00,16876.00,0.11,-0.36,10.03,66.00,18.00,32.00,0.01,0.07,0.04,164,176,193 ,
1395,152.00,-576.00,16860.00,0.09,-0.34,10.09,65.00,21.00,29.00,0.13,0.14,-0.08,163,181,194 ,
2096,92.00,-612.00,16824.00,0.10,-0.35,10.03,67.00,20.00,31.00,0.01,0.01,0.04,161,180,195 ,
2795,148.00,-524.00,16824.00,0.10,-0.34,10.13,66.00,22.00,34.00,0.01,0.01,-0.08,161,181,195 ,
3496,164.00,-548.00,16728.00,0.14,-0.35,10.11,66.00,24.00,33.00,-0.11,0.26,0.04,160,182,193 ,
4196,144.00,-620.00,16872.00,0.10,-0.36,10.09,66.00,18.00,31.00,-0.05,0.01,0.04,162,182,194 ,
4895,80.00,-540.00,16844.00,0.08,-0.33,10.07,63.00,18.00,31.00,-0.17,0.01,0.10,164,185,196 ,
5596,196.00,-516.00,16808.00,0.07,-0.33,10.04,65.00,19.00,31.00,-0.11,0.14,-0.14,168,180,197 ,
6295,200.00,-616.00,16756.00,0.12,-0.36,10.05,65.00,23.00,29.00,-0.05,0.01,-0.08,162,189,200 ,
6996,172.00,-604.00,16728.00,0.08,-0.33,10.04,64.00,20.00,28.00,-0.05,0.07,-0.14,162,186,199 ,
7695,28.00,-512.00,16908.00,0.10,-0.35,10.03,67.00,21.00,31.00,0.01,0.38,-0.08,160,186,199 ,
8395,164.00,-648.00,17044.00,0.14,-0.37,10.07,66.00,20.00,30.00,0.07,0.01,-0.20,164,190,201 ,
9095,132.00,-536.00,16888.00,0.16,-0.33,10.06,66.00,18.00,31.00,0.13,-0.17,0.04,163,188,202 ,
9795,96.00,-460.00,17012.00,0.06,-0.28,10.09,65.00,17.00,31.00,-0.11,-0.05,-0.08,163,187,205 ,
10495,160.00,-628.00,16840.00,0.11,-0.35,10.07,69.00,21.00,31.00,0.01,0.14,-0.14,168,185,204 ,
button pressed
697,108.00,-628.00,16948.00,0.09,-0.39,10.07,64.00,16.00,32.00,-0.11,0.07,-0.08,161,185,187 ,
1396,56.00,-500.00,16956.00,0.05,-0.35,10.20,64.00,20.00,31.00,-0.05,0.20,-0.02,159,187,190 ,
2097,72.00,-672.00,16948.00,0.10,-0.39,10.11,65.00,19.00,29.00,0.07,0.01,-0.08,156,182,189 ,
2796,88.00,-492.00,16868.00,0.06,-0.33,10.12,65.00,23.00,31.00,0.07,0.20,0.04,162,198,194 ,
3496,164.00,-564.00,16840.00,0.15,-0.41,10.05,67.00,20.00,32.00,0.01,0.20,0.04,162,192,194 ,
4196,124.00,-620.00,16824.00,0.03,-0.31,10.07,68.00,20.00,29.00,-0.05,-0.05,-0.02,160,185,193 ,
