Program started,,,,,,,,,,,,,,,,
Initialize MPU6050,,,,,,,,,,,,,,,,
 * Sleep Mode:            Disabled,,,,,,,,,,,,,,,,
 * Clock Source:          PLL with X axis gyroscope reference,,,,,,,,,,,,,,,,
 * Accelerometer:         +/- 2 g,,,,,,,,,,,,,,,,
 * Accelerometer offsets: -3540 / -3691 / 1478,,,,,,,,,,,,,,,,
 * Gyroscope:         2000 dps,,,,,,,,,,,,,,,,
 * Gyroscope offsets: 155 / 15 / 15,,,,,,,,,,,,,,,,
button pressed,,,,,,,,,,,,,,,,
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
2095,-104,-636,16920,-0.06,-0.37,10.12,66,19,32,0.04,-0.04,0.09,159,222,337,
2796,-124,-584,16860,0,-0.38,10.07,64,22,33,0.1,0.27,-0.04,154,216,317,
3496,-20,-692,16872,-0.02,-0.39,10.06,61,22,33,-0.27,0.02,-0.1,153,213,306,
4195,0,-632,16928,-0.01,-0.33,10.07,65,20,31,-0.09,-0.1,-0.04,230,341,538,
4896,32,-636,16940,0.03,-0.39,10.04,67,19,30,-0.09,-0.1,-0.1,226,362,551,
5595,-72,-500,16800,-0.02,-0.33,10.07,63,16,30,-0.09,-0.1,0.15,226,357,520,
6296,-16,-668,16768,-0.03,-0.38,10.05,64,16,34,-0.21,-0.04,-0.04,223,346,495,
6995,-36,-616,16820,-0.03,-0.37,10.08,64,18,32,-0.02,-0.04,0.03,208,339,477,
7695,-36,-676,16832,0,-0.32,10.11,66,19,31,0.1,0.02,0.09,213,323,447,
8395,-80,-708,16940,-0.06,-0.39,10.1,64,20,35,-0.09,-0.04,0.03,195,302,415,
9095,-120,-544,16896,-0.01,-0.36,10.15,66,19,32,0.04,-0.1,0.03,188,286,384,
9796,-16,-720,16820,-0.03,-0.4,10,63,22,33,0.1,0.08,0.03,177,266,355,
10495,-4,-624,16820,-0.01,-0.37,10.12,66,20,34,0.16,-0.04,0.15,169,252,329,
button pressed,,,,,,,,,,,,,,,,
696,-24,-648,16872,-0.02,-0.37,10.16,62,20,33,-0.21,-0.04,0.03,119,144,182,
