Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
5328,112.00,-540.00,16828.00,0.12,-0.34,9.99,65.00,19.00,30.00,0.08,0.01,0.02,187,209,210 ,
6028,180.00,-608.00,16740.00,0.05,-0.35,10.07,64.00,17.00,31.00,0.01,-0.11,0.08,188,209,210 ,
6729,224.00,-564.00,16904.00,0.07,-0.33,10.04,67.00,16.00,33.00,0.14,-0.11,-0.04,190,210,212 ,
7428,76.00,-612.00,16856.00,0.09,-0.34,10.17,64.00,21.00,31.00,-0.17,0.07,0.14,189,207,214 ,
8128,148.00,-552.00,16912.00,0.15,-0.28,10.05,65.00,21.00,33.00,-0.11,0.07,0.08,192,207,214 ,
8828,152.00,-596.00,16832.00,0.08,-0.32,10.07,62.00,14.00,30.00,0.01,-0.11,0.08,189,206,214 ,
9528,156.00,-536.00,16980.00,0.09,-0.36,10.09,64.00,20.00,31.00,0.01,-0.11,0.02,190,206,213 ,
10228,180.00,-584.00,16748.00,0.07,-0.37,10.05,64.00,21.00,29.00,-0.05,-0.05,-0.04,190,208,214 ,
button pressed
696,164.00,-628.00,16924.00,0.09,-0.35,10.10,68.00,23.00,28.00,-0.05,0.01,-0.04,194,225,225 ,
902,36.00,-584.00,17168.00,0.02,-0.35,10.27,67.00,29.00,30.00,0.08,0.92,0.08,192,214,223 ,1721
1032,280.00,-468.00,16640.00,0.37,-0.19,9.19,65.00,16.00,32.00,0.20,-0.72,-0.17,191,208,216 ,13
1732,104.00,-540.00,16844.00,0.13,-0.37,10.09,66.00,18.00,31.00,-0.11,-0.05,-0.10,190,198,218 ,
2432,140.00,-572.00,16792.00,0.06,-0.31,10.07,65.00,18.00,33.00,0.01,0.01,0.20,188,207,214 ,
3132,64.00,-588.00,16836.00,0.06,-0.36,10.07,66.00,20.00,31.00,-0.11,-0.11,0.08,188,206,214 ,
3832,148.00,-608.00,16792.00,0.07,-0.32,10.11,67.00,18.00,29.00,0.14,-0.05,0.02,191,206,215 ,
4532,124.00,-528.00,16912.00,0.06,-0.36,10.16,65.00,19.00,29.00,0.01,0.01,0.08,190,204,214 ,
5231,140.00,-624.00,16972.00,0.04,-0.36,10.11,64.00,19.00,30.00,0.01,0.13,0.08,187,205,215 ,
5932,136.00,-520.00,16796.00,0.11,-0.33,10.04,65.00,19.00,29.00,-0.11,0.01,-0.04,188,202,214 ,
6631,108.00,-548.00,16820.00,0.07,-0.34,10.08,66.00,19.00,29.00,0.01,0.13,0.02,187,124,186 ,
7332,92.00,-576.00,16804.00,0.04,-0.31,10.02,66.00,20.00,31.00,0.01,0.13,-0.04,188,177,199 ,
8031,160.00,-616.00,16768.00,0.05,-0.33,10.10,68.00,17.00,32.00,0.14,-0.11,0.26,188,191,205 ,
8731,136.00,-528.00,16844.00,0.10,-0.32,10.06,67.00,17.00,33.00,0.08,0.07,0.08,187,226,216 ,
9431,88.00,-532.00,16812.00,0.05,-0.32,10.06,67.00,21.00,33.00,0.08,0.07,-0.04,188,179,201 ,
10131,112.00,-508.00,16832.00,0.08,-0.34,10.14,64.00,21.00,32.00,0.14,0.01,0.26,195,364,265 ,
button pressed
695,140.00,-524.00,16688.00,0.05,-0.33,10.03,67.00,22.00,33.00,0.14,0.19,0.08,188,221,212 ,
907,1456.00,20.00,14044.00,0.99,-0.20,2.43,73.00,-18.00,28.00,0.87,-0.72,0.26,188,213,210 ,137
926,836.00,-244.00,15924.00,0.19,-0.18,8.80,67.00,22.00,30.00,0.20,0.86,0.32,188,207,215 ,624
1098,164.00,-632.00,16832.00,0.42,-0.08,8.88,67.00,14.00,35.00,0.20,-0.84,0.08,186,197,201 ,40
1798,144.00,-524.00,16844.00,0.13,-0.33,10.00,65.00,21.00,29.00,-0.17,0.19,0.02,189,193,204 ,
2498,124.00,-588.00,16832.00,0.06,-0.33,10.13,64.00,22.00,31.00,-0.05,0.19,0.20,187,202,206 ,
3198,244.00,-560.00,16708.00,0.06,-0.33,10.03,68.00,19.00,32.00,0.14,0.01,0.08,182,206,207 ,
3897,224.00,-620.00,16636.00,0.12,-0.37,10.00,63.00,21.00,31.00,0.01,0.07,-0.10,186,205,206 ,
4598,204.00,-576.00,16776.00,0.12,-0.40,10.09,66.00,20.00,28.00,0.20,0.13,0.02,185,206,206 ,
5297,160.00,-492.00,16920.00,0.11,-0.37,10.18,65.00,15.00,30.00,0.01,-0.11,-0.04,187,205,206 ,
5998,124.00,-708.00,16896.00,0.09,-0.35,10.10,63.00,20.00,34.00,-0.17,0.13,0.20,186,206,205 ,
6697,216.00,-516.00,16764.00,0.09,-0.33,10.15,68.00,18.00,32.00,0.08,-0.11,0.14,183,206,204 ,
7397,244.00,-556.00,16848.00,0.12,-0.35,9.99,63.00,22.00,30.00,-0.11,0.19,0.02,187,204,203 ,
8097,176.00,-524.00,16868.00,0.07,-0.34,10.10,69.00,14.00,31.00,0.14,-0.36,0.14,186,206,202 ,
8797,108.00,-592.00,16924.00,0.03,-0.32,10.08,67.00,19.00,29.00,-0.11,-0.05,-0.10,183,204,202 ,
9498,136.00,-604.00,16900.00,0.10,-0.33,10.05,64.00,18.00,31.00,-0.05,0.07,0.08,185,205,203 ,
10197,132.00,-536.00,16708.00,0.10,-0.33,10.05,65.00,17.00,31.00,0.08,-0.05,-0.04,184,203,201 ,
button pressed
697,136.00,-584.00,16832.00,0.13,-0.33,10.10,67.00,16.00,30.00,-0.17,-0.05,-0.04,186,242,215 ,
